,Property_details,Area,Price,Area Type,Number of Sq ft
0,"4 BHK Independent House for Sale in T Nagar, Coimbatore",2400 sqft,₹1.20 Cr ,Super Area,2400 sqft
1,"4 BHK Independent House for Sale in Singanallur, Coimbatore",2580 sqft,₹1.30 Cr ,Carpet Area,2580 sqft
2,"2 BHK Independent House for Sale in Karayampalayam, Coimbatore",1350 sqft,₹55 Lac ,Carpet Area,1350 sqft
3,"3 BHK Independent House for Sale in Pannimadai, Coimbatore",2000 sqft,₹85 Lac ,Carpet Area,2000 sqft
4,4 BHK Independent House for Sale in Coimbatore,2036 sqft,₹1.25 Cr ,Super Area,2036 sqft
5,"2 BHK Independent House for Sale in Karamadai, Coimbatore",1236 sqft,₹54 Lac ,Carpet Area,1236 sqft
6,"2 BHK Independent House for Sale in Kannampalayam, Coimbatore",2100 sqft,₹65 Lac ,Super Area,2100 sqft
7,"2 BHK Independent House for Sale in Podunur, Coimbatore",1090 sqft,₹32 Lac ,Carpet Area,1090 sqft
8,"3 BHK Independent House for Sale in Narasimhanaicken Palayam, Coimbatore",1800 sqft,₹60 Lac ,Carpet Area,1800 sqft
9,"3 BHK Independent House for Sale in SIHS Colony, Coimbatore",1100 sqft,₹80 Lac ,Carpet Area,1100 sqft
10,"2 BHK Independent House for Sale in Veerapandi Pirivu, Coimbatore",1500 sqft,₹60 Lac ,Super Area,1500 sqft
11,"2 BHK Independent House for Sale in Nehru Nagar, Coimbatore",1000 sqft,₹60 Lac ,Super Area,1000 sqft
12,"2 BHK Independent House for Sale in Sundarapuram, Coimbatore",800 sqft,₹69 Lac ,Carpet Area,800 sqft
13,"3 BHK Independent House for Sale in Kovai Pudur, Coimbatore",1880 sqft,₹95 Lac ,Super Area,1880 sqft
14,"7 BHK Independent House for Sale in Kuniyamuthur, Coimbatore",2000 sqft,₹1.75 Cr ,Carpet Area,2000 sqft
15,"3 BHK Independent House for Sale in Peelamedu Pudur, Coimbatore",3 cent,₹1.50 Cr ,Carpet Area,3 cent
16,"3 BHK Independent House for Sale in Goundan Palayam, Coimbatore",2000 sqft,₹79 Lac ,Carpet Area,2000 sqft
17,"3 BHK Independent House for Sale in Kavundam Palayam, Coimbatore",1400 sqft,₹1.20 Cr ,Carpet Area,1400 sqft
18,"2 BHK Independent House for Sale in Saravanampatty, Coimbatore",1200 sqft,₹99 Lac ,Carpet Area,1200 sqft
